MONTH,APPLICATION_NAME,VOLUME_MN,VALUE_CR,VOLUME_MARKET_SHARE_PCT,VALUE_MARKET_SHARE_PCT,APP_RANK
2025-03-01,phone pe #,8647.78,1257075.54,47.97,51.17,1
2025-03-01,google pay #,6596.76,866568.18,36.59,35.28,2
2025-03-01,paytm #,1221.12,132912.04,6.77,5.41,3
2025-03-01,navi #,324.42,18018.65,1.8,0.73,4
2025-03-01,super.money #,171.75,5933.08,0.95,0.24,5
2025-03-01,axis bank apps,145.78,9966.53,0.81,0.41,6
2025-03-01,cred #,144.82,55091.22,0.8,2.24,7
2025-03-01,amazon pay #,111.06,10606.66,0.62,0.43,8
2025-03-01,famapp by trio #,89.94,1099.28,0.5,0.04,9
2025-03-01,icici bank apps,67.63,16696.94,0.38,0.68,10
2025-03-01,whatsapp #,66.23,4958.25,0.37,0.2,11
2025-03-01,hdfc bank apps,60.94,11789.9,0.34,0.48,12
2025-03-01,kotak mahindra bank apps,57.05,7737.14,0.32,0.31,13
2025-03-01,bhim,46.13,9540.09,0.26,0.39,14
2025-03-01,yes bank apps,44.03,9388.85,0.24,0.38,15
2025-03-01,mobikwik #,29.8,4414,0.17,0.18,16
2025-03-01,airtel payments bank apps,21.63,1487.89,0.12,0.06,17
2025-03-01,slice #,17.41,2069.31,0.1,0.08,18
2025-03-01,india post payments bank apps,16.58,1941.73,0.09,0.08,19
2025-03-01,idfc bank apps,14.53,2486.08,0.08,0.1,20
2025-03-01,state bank of india apps,12.61,3418.04,0.07,0.14,21
2025-03-01,rbl bank apps,12.59,1741.69,0.07,0.07,22
2025-03-01,groww #,11.63,7009.63,0.06,0.29,23
2025-03-01,bajaj finserv #,9.66,1892.01,0.05,0.08,24
2025-03-01,samsung pay #,8.95,642.73,0.05,0.03,25
2025-03-01,pop upi,8.53,449.95,0.05,0.02,26
2025-03-01,jupiter money #,6.49,958.52,0.04,0.04,27
2025-03-01,federal bank apps,4.75,869.77,0.03,0.04,28
2025-03-01,flipkart upi #,4.72,257.82,0.03,0.01,29
2025-03-01,jio payments bank apps,4.08,318.2,0.02,0.01,30
2025-03-01,canara bank apps,3.75,975.91,0.02,0.04,31
2025-03-01,deutsche bank apps,3.62,532.05,0.02,0.02,32
2025-03-01,punjab national bank apps,3.38,898.95,0.02,0.04,33
2025-03-01,fi money #,3.25,434.16,0.02,0.02,34
2025-03-01,timepay #,3.07,37.66,0.02,0,35
2025-03-01,others,2.26,254.93,0.01,0.01,36
2025-03-01,bank of baroda apps,2.11,588.95,0.01,0.02,37
2025-03-01,indusind bank apps,2.04,346,0.01,0.01,38
2025-03-01,shri ram one #,1.75,116.77,0.01,0,39
2025-03-01,jammu and kashmir bank apps,1.75,261.45,0.01,0.01,39
2025-03-01,omni card,1.59,86.51,0.01,0,41
2025-03-01,central bank of india apps,1.57,268,0.01,0.01,42
2025-03-01,kiwi #,1.41,213.93,0.01,0.01,43
2025-03-01,suryoday bank apps,1.26,178.92,0.01,0.01,44
2025-03-01,bharat pe #,1.07,68.67,0.01,0,45
2025-03-01,dbs digibank apps,1.02,230.21,0.01,0.01,46
2025-03-01,hsbc bank apps,1,224.84,0.01,0.01,47
2025-03-01,ind money #,0.95,436.8,0.01,0.02,48
2025-03-01,aditya birla capital digital #,0.88,39.97,0,0,49
2025-03-01,one card #,0.82,973,0,0.04,50
2025-03-01,digikhata,0.8,258.58,0,0.01,51
2025-03-01,union bank apps,0.72,241.09,0,0.01,52
2025-03-01,south indian bank apps,0.68,204.88,0,0.01,53
2025-03-01,indian bank apps,0.64,176.18,0,0.01,54
2025-03-01,au small finance bank apps,0.59,174.06,0,0.01,55
2025-03-01,fino payments bank apps,0.58,63.84,0,0,56
2025-03-01,standard chartered bank apps,0.5,146.46,0,0.01,57
2025-03-01,uco bank apps,0.44,110.34,0,0,58
2025-03-01,esaf small finance bank apps,0.38,40.78,0,0,59
2025-03-01,tata neu #,0.38,111.95,0,0,59
2025-03-01,salary se #,0.36,18.23,0,0,61
2025-03-01,bank of india apps,0.27,86.1,0,0,62
2025-03-01,indian overseas bank apps,0.26,60.29,0,0,63
2025-03-01,karnataka bank apps,0.25,57.72,0,0,64
2025-03-01,kredit.pe #,0.19,26.43,0,0,65
2025-03-01,money view #,0.18,18.99,0,0,66
2025-03-01,dhani,0.17,8.44,0,0,67
2025-03-01,spice money,0.16,12.87,0,0,68
2025-03-01,rapipay,0.14,17.08,0,0,69
2025-03-01,idbi bank apps,0.13,45.74,0,0,70
2025-03-01,ultracash #,0.11,8.67,0,0,71
2025-03-01,niyo global #,0.11,54.39,0,0,71
2025-03-01,true balance,0.1,3.41,0,0,73
2025-03-01,karur vysya bank apps,0.09,33.66,0,0,74
2025-03-01,city union bank apps,0.09,31.31,0,0,74
2025-03-01,tamilnad mercantile bank apps,0.08,29.48,0,0,76
2025-03-01,genwise #,0.07,28.34,0,0,77
2025-03-01,freo #,0.05,3.87,0,0,78
2025-03-01,nsdl payments bank apps,0.04,5.54,0,0,79
2025-03-01,cheq,0.03,2.43,0,0,80
2025-03-01,bank of maharashtra apps,0.03,9.11,0,0,80
2025-03-01,punjab sind bank apps,0.03,9.19,0,0,80
2025-08-01,navi #,504.45,25396.91,24.62,10.96,1
2025-08-01,super.money #,256.64,9290.21,12.53,4.01,2
2025-08-01,cred #,150,55756.24,7.32,24.06,3
2025-08-01,famapp by trio #,135.65,1708.85,6.62,0.74,4
2025-08-01,axis bank apps,135.14,9812.52,6.6,4.23,5
2025-08-01,bhim,100.17,15002.68,4.89,6.47,6
2025-08-01,amazon pay #,98.98,10830.8,4.83,4.67,7
2025-08-01,whatsapp #,78.21,5583.34,3.82,2.41,8
2025-08-01,icici bank apps,75.8,16589.76,3.7,7.16,9
2025-08-01,hdfc bank apps,72.86,16120.19,3.56,6.96,10
2025-08-01,kotak mahindra bank apps,71.87,8662.31,3.51,3.74,11
2025-08-01,yes bank apps,54.33,9428.15,2.65,4.07,12
2025-08-01,mobikwik #,48.14,6010.88,2.35,2.59,13
2025-08-01,pop upi,44.53,1694.22,2.17,0.73,14
2025-08-01,airtel payments bank apps,21.4,1650.42,1.04,0.71,15
2025-08-01,slice small finance bank apps,20.75,2716.15,1.01,1.17,16
2025-08-01,india post payments bank apps,19.58,1892.61,0.96,0.82,17
2025-08-01,idfc bank apps,17.48,2728.37,0.85,1.18,18
2025-08-01,groww #,13.01,9001.87,0.64,3.88,19
2025-08-01,state bank of india apps,12.99,3668.47,0.63,1.58,20
2025-08-01,bajaj finserv,11.63,2456.88,0.57,1.06,21
2025-08-01,samsung pay #,9.9,682.42,0.48,0.29,22
2025-08-01,rbl bank apps,9.29,1456.85,0.45,0.63,23
2025-08-01,federal bank apps,6.55,1295.01,0.32,0.56,24
2025-08-01,jupiter money #,6.49,998.01,0.32,0.43,25
2025-08-01,bharat pe #,4.69,233.82,0.23,0.1,26
2025-08-01,jio payments bank apps,4.65,319.72,0.23,0.14,27
2025-08-01,canara bank apps,4.27,1028.07,0.21,0.44,28
2025-08-01,deutsche bank apps,4.24,774.19,0.21,0.33,29
2025-08-01,punjab national bank apps,3.79,964.86,0.18,0.42,30
2025-08-01,nsdl payments bank apps,3.59,198.74,0.18,0.09,31
2025-08-01,flipkart upi #,3.46,194.88,0.17,0.08,32
2025-08-01,timepay #,2.98,43.77,0.15,0.02,33
2025-08-01,fi money #,2.77,391.19,0.14,0.17,34
2025-08-01,kiwi #,2.69,305.39,0.13,0.13,35
2025-08-01,shri ram one,2.61,159.27,0.13,0.07,36
2025-08-01,jammu and kashmir bank apps,2.47,334.59,0.12,0.14,37
2025-08-01,others,2.41,273.01,0.12,0.12,38
2025-08-01,bank of baroda apps,2.39,508.85,0.12,0.22,39
2025-08-01,others,2.31,244.14,0.11,0.11,40
2025-08-01,ind money #,2.15,758.73,0.1,0.33,41
2025-08-01,indusind bank apps,1.91,238.35,0.09,0.1,42
2025-08-01,omni card,1.82,113.4,0.09,0.05,43
2025-08-01,suryoday bank apps,1.46,111.94,0.07,0.05,44
2025-08-01,indian bank apps,1.26,281.53,0.06,0.12,45
2025-08-01,hsbc bank apps,1.21,151.55,0.06,0.07,46
2025-08-01,digikhata,1.1,365.04,0.05,0.16,47
2025-08-01,money view #,1.03,74.94,0.05,0.03,48
2025-08-01,south indian bank apps,0.9,248.87,0.04,0.11,49
2025-08-01,union bank apps,0.84,259.85,0.04,0.11,50
2025-08-01,one card,0.76,884.64,0.04,0.38,51
2025-08-01,dbs digibank apps,0.75,252.29,0.04,0.11,52
2025-08-01,kredit pe #,0.71,60.21,0.03,0.03,53
2025-08-01,central bank of india apps,0.71,161.42,0.03,0.07,53
2025-08-01,fino payments bank apps,0.69,68.05,0.03,0.03,55
