MONTH,VOLUME,VALUE,TOTAL_ACCOUNTS
2026-02-01,203941.84,2684229,1072044629
2026-01-01,217034.45,2833481,1072044629
2025-12-01,216346.68,2796713,1072044629
2025-11-01,204669.79,2631633,1072044629
2025-10-01,207009.21,2727791,1072044629
2025-09-01,196334.33,2489737,1072044629
2025-08-01,200083.1,2485473,1072044629
2025-07-01,194679.48,2508498,1072044629
2025-06-01,183950.06,2403931,1072044629
2025-05-01,186774.6,2514297,1072044629
2025-04-01,178934.24,2394926,1072044629
2025-03-01,183015.08,2477222,1072044629
2025-02-01,161061.93,2196482,1072044629
2025-01-01,169960.01,2348037,1072044629
2024-12-01,167300.09,2324700,1072044629
2024-11-01,154820.21,2155187,1072044629
2024-10-01,165849.66,2349821,1072044629
2024-09-01,150417.47,2063995,1072044629
2024-08-01,149630.47,2060736,1072044629
2024-07-01,144355.54,2064292,1072044629
2024-06-01,138851.42,2007081,1072044629
2024-05-01,140358.43,2044937,1072044629
2024-04-01,133039.94,1964465,1072044629
2024-03-01,134400.04,1978353,1072044629
2024-02-01,121026.73,1827869,1072044629
2024-01-01,122030.18,1841084,1072044629
2023-12-01,120202.26,1822949,1072044629
2023-11-01,112352.92,1739741,1072044629
2023-10-01,114087.9,1715768,1072044629
2023-09-01,105556.87,1579133,1072044629
2023-08-01,105860.16,1576537,1072044629
2023-07-01,99642.56,1533536,1072044629
2023-06-01,93350.61,1475464,1072044629
2023-05-01,94151.85,1489145,1072044629
2023-04-01,88632.6,1415505,1072044629
2023-03-01,86516.34,1404951,1072044629
2023-02-01,75347.57,1235847,1072044629
2023-01-01,80385.88,1299059,1072044629
2022-12-01,78288.95,1281971,1072044629
2022-11-01,73094.47,1190593,1072044629
2022-10-01,73054.21,1211588,1072044629
2022-09-01,67808,1116438,1072044629
2022-08-01,65819.06,1073162,1072044629
2022-07-01,62893.4,1063117,1072044629
2022-06-01,58629.08,1014413,1072044629
2022-05-01,59462.89,1040221,1072044629
2022-04-01,55843.88,983573,1072044629
2022-03-01,54056.51,960582,1072044629
2022-02-01,45274.89,826843,1072044629
2022-01-01,46171.56,831993,1072044629
2021-12-01,45662.99,826848,1072044629
2021-11-01,41864.8,768436,1072044629
2021-10-01,42184.32,771407,1072044629
2021-09-01,36558.17,654648,1072044629
2021-08-01,35555.45,639117,1072044629
2021-07-01,32455.02,605883,1072044629
2021-06-01,28075.16,547373,1072044629
2021-05-01,25291.82,489106,1072044629
2021-04-01,26410.61,493664,1072044629
2021-03-01,27316.85,504886,1072044629
2021-02-01,22928.94,425063,1072044629
2021-01-01,23027.28,431182,1072044629
2020-12-01,22341.58,416176,1072044629
2020-11-01,22102.28,390999,1072044629
2020-10-01,20716.19,386107,1072044629
2020-09-01,18001.67,329032,1072044629
2020-08-01,16188.28,298308,1072044629
2020-07-01,14973.54,290538,1072044629
2020-06-01,13369.31,261835,1072044629
2020-05-01,12344.97,218392,1072044629
2020-04-01,9995.74,151141,1072044629
2020-03-01,12468.45,206462,1072044629
2020-02-01,13256.93,222517,1072044629
2020-01-01,13050.19,216243,1072044629
2019-12-01,13084.02,202521,1072044629
2019-11-01,12187.71,189229,1072044629
