application_name,volume_mn,value_cr,month
PhonePe,6500.14,1001679.63,01-04-2024
Google Pay,5027.32,694189.68,01-04-2024
Paytm,1117.13,122554.25,01-04-2024
Cred,138.46,43233.21,01-04-2024
Axis Bank Apps,69.8,6483.24,01-04-2024
Amazon Pay,64.33,6784.82,01-04-2024
ICICI Bank Apps,47.41,26638.88,01-04-2024
Fampay,46.64,588,01-04-2024
Kotak Mahindra Bank Apps,41.54,6101.88,01-04-2024
HDFC Bank Apps,35.99,7689.76,01-04-2024
WhatsApp,34.12,2815.68,01-04-2024
BHIM,25.48,8670.52,01-04-2024
Yes Bank Apps,22.26,12009.4,01-04-2024
Airtel Payments Bank Apps,16.19,1244.14,01-04-2024
Navi,15.1,402.92,01-04-2024
Bajaj Finserv,10.29,1819.55,01-04-2024
Mobikwik,9.76,2248.19,01-04-2024
Groww,8.02,5452.72,01-04-2024
Slice,7.51,608.62,01-04-2024
State Bank of India Apps,6.53,2386.79,01-04-2024
IDFC Bank Apps,6.45,1581.78,01-04-2024
Samsung Pay,6.3,527.4,01-04-2024
Federal Bank Apps,6.14,821.8,01-04-2024
Jupiter,5.92,710.69,01-04-2024
India Post Payments Bank Apps,5.08,687.52,01-04-2024
Flipkart UPI,3.46,174.73,01-04-2024
Deutsche Bank Apps,3.28,441.58,01-04-2024
Canara Bank Apps,3.03,812.15,01-04-2024
Timepay,2.16,24.25,01-04-2024
Jio Payments Bank Apps,1.87,164.17,01-04-2024
Punjab National Bank Apps,1.66,419.99,01-04-2024
RBL Bank Apps,1.57,646.29,01-04-2024
Indian Bank Apps,1.5,317.4,01-04-2024
Union Bank Apps,1.25,525.02,01-04-2024
Omnicard,1.06,37.27,01-04-2024
Bank of Baroda Apps,0.99,467.77,01-04-2024
Central Bank of India Apps,0.89,204.45,01-04-2024
AU Small Finance Bank Apps,0.8,257.99,01-04-2024
Go Kiwi,0.58,92.87,01-04-2024
DBS Digibank Apps,0.47,182.89,01-04-2024
South Indian Bank Apps,0.43,129.71,01-04-2024
Shriram One,0.4,37.49,01-04-2024
Fino Payments bank Apps,0.35,49.47,01-04-2024
IndusInd Bank Apps,1.06,191.9,01-04-2024
HSBC Bank Apps,0.32,126.59,01-04-2024
TataNeu,0.32,34.06,01-04-2024
Bank of India Apps,0.21,87.25,01-04-2024
Standard Chartered Bank Apps,0.16,105.51,01-04-2024
UCO Bank Apps,0.16,54.3,01-04-2024
Digikhata,0.15,51.08,01-04-2024
Karnataka Bank Apps,0.15,27.18,01-04-2024
Jupiter Edge,0.14,22.88,01-04-2024
Dhani,0.13,7.44,01-04-2024
Indian Overseas Bank Apps,0.11,30.1,01-04-2024
Ultracash,0.09,6.16,01-04-2024
Tamilnad Mercantile Bank Apps,0.09,24.69,01-04-2024
City Union Bank Apps,0.08,26.6,01-04-2024
NSDL Payments Bank Apps,0.08,11.88,01-04-2024
Citi Bank Apps,0.06,69.19,01-04-2024
IDBI Bank Apps,0.06,20.15,01-04-2024
Bank of Maharashtra Apps,0.06,14.06,01-04-2024
Karur Vysya Bank Apps,0.05,18.94,01-04-2024
MakeMyTrip,0.04,19.32,01-04-2024
Go Niyo,0.04,16.77,01-04-2024
Equitas Small Finance Bank Apps,0.03,25.52,01-04-2024
Punjab Sind Bank Apps,0.03,12.15,01-04-2024
Allahabad Bank Apps,0.02,6.18,01-04-2024
Fave,0.02,1.16,01-04-2024
Cheq,0.01,1.13,01-04-2024
Other Apps,1.18,112.6,01-04-2024
Phone Pe #,8362.31,1205047.3,01-04-2025
Google Pay #,6488.55,842628.56,01-04-2025
Paytm #,1210.24,131153.97,01-04-2025
Navi #,344.21,18841.19,01-04-2025
super.money #,175.24,5924.95,01-04-2025
Cred #,134.67,49753,01-04-2025
Axis Bank Apps,120.05,9147.64,01-04-2025
FamApp by Trio #,99.91,1241.8,01-04-2025
Amazon Pay #,98.26,9966.68,01-04-2025
Whatsapp #,67.4,5065.44,01-04-2025
ICICI Bank Apps,58.11,16223.97,01-04-2025
Kotak Mahindra Bank Apps,57.73,7681.65,01-04-2025
HDFC Bank Apps,57.46,11947.75,01-04-2025
BHIM,53.57,10363.27,01-04-2025
Yes Bank Apps,48.3,9059.27,01-04-2025
Mobikwik #,31.7,4277.05,01-04-2025
Airtel Payments Bank Apps,20.4,1416.39,01-04-2025
Slice #,17.81,2120.01,01-04-2025
IDFC Bank Apps,16.09,2435.24,01-04-2025
India Post Payments Bank Apps,14.76,1738.65,01-04-2025
RBL Bank Apps,14.09,1653.13,01-04-2025
State Bank of India Apps,13.16,3524.25,01-04-2025
Groww #,12.37,8788.46,01-04-2025
POP UPI,10.38,445.95,01-04-2025
Bajaj Finserv #,10.25,2002.37,01-04-2025
Samsung Pay #,8.72,619.96,01-04-2025
Jupiter Money #,6.15,900.17,01-04-2025
Federal Bank Apps,4.89,894.05,01-04-2025
Jio Payments Bank Apps,4.21,315.88,01-04-2025
Canara Bank Apps,3.71,970.18,01-04-2025
Deutsche Bank Apps,3.56,647.42,01-04-2025
Flipkart UPI #,3.47,195.89,01-04-2025
Punjab National Bank Apps,3.4,912.54,01-04-2025
Timepay #,3.12,40.66,01-04-2025
Fi Money #,3.01,396.69,01-04-2025
Kiwi #,2.41,297.79,01-04-2025
IndusInd Bank Apps,2.17,345.61,01-04-2025
Jammu and Kashmir Bank Apps,2.11,281.4,01-04-2025
Shri Ram One #,2.09,137.77,01-04-2025
Bank of Baroda Apps,1.9,567.22,01-04-2025
Standard Chartered Bank Apps,1.9,158.39,01-04-2025
Omni Card,1.57,84.95,01-04-2025
Central Bank of India Apps,1.54,263.72,01-04-2025
DBS Digibank Apps,1.1,213.38,01-04-2025
Ind Money #,1.05,541.53,01-04-2025
HSBC Bank Apps,0.88,107.13,01-04-2025
Digikhata,0.8,254.47,01-04-2025
Bharat Pe #,0.78,59.59,01-04-2025
Suryoday Bank Apps,0.75,135.57,01-04-2025
One Card #,0.74,842.35,01-04-2025
Union Bank Apps,0.72,243.46,01-04-2025
Indian Bank Apps,0.7,186.42,01-04-2025
South Indian Bank Apps,0.68,200.19,01-04-2025
Aditya Birla Capital Digital #,0.63,32.69,01-04-2025
AU Small Finance Bank Apps,0.57,178.31,01-04-2025
Fino Payments Bank Apps,0.51,54.6,01-04-2025
UCO Bank Apps,0.46,116.7,01-04-2025
ESAF Small Finance Bank Apps,0.44,52.11,01-04-2025
Tata Neu #,0.39,118.54,01-04-2025
Salary Se #,0.37,17.58,01-04-2025
Bank of India Apps,0.3,90.46,01-04-2025
Indian Overseas Bank Apps,0.27,63.56,01-04-2025
Karnataka Bank Apps,0.24,58.02,01-04-2025
Money View #,0.23,25.72,01-04-2025
Kredit.Pe #,0.22,28.84,01-04-2025
Spice Money,0.17,12.63,01-04-2025
Dhani,0.16,7.15,01-04-2025
Rapipay,0.15,16.93,01-04-2025
IDBI Bank Apps,0.13,47.44,01-04-2025
Niyo Global #,0.11,58.73,01-04-2025
Ultracash #,0.1,8.26,01-04-2025
Karur Vysya Bank Apps,0.09,33.47,01-04-2025
True Balance,0.09,3.02,01-04-2025
Tamilnad Mercantile Bank Apps,0.09,31.21,01-04-2025
City Union Bank Apps,0.08,29.3,01-04-2025
Genwise #,0.07,27.48,01-04-2025
NSDL Payments Bank Apps,0.06,6.78,01-04-2025
Freo #,0.04,2.6,01-04-2025
Obopay,0.04,4.79,01-04-2025
Unity Small Finance Bank Apps,0.03,6.73,01-04-2025
Punjab Sind Bank Apps,0.03,9.5,01-04-2025
Cheq,0.02,1.72,01-04-2025
Bank of Maharashtra Apps,0.02,6.66,01-04-2025
Others,1.88,216.91,01-04-2025
PhonePe #,7236.49,1033264.34,01-08-2024
Google Pay #,5592.45,742223.07,01-08-2024
Paytm #,1078.9,113672.17,01-08-2024
Cred #,147.48,50720.89,01-08-2024
Axis Bank Apps,113.97,5834.35,01-08-2024
Navi #,88.71,4651.32,01-08-2024
Amazon Pay #,70.72,7744.21,01-08-2024
Fam Pay by Trio #,57.16,686.06,01-08-2024
ICICI Bank Apps,51.31,21309.33,01-08-2024
Kotak Mahindra Bank Apps,46.94,6349,01-08-2024
WhatsApp #,45.43,3421.99,01-08-2024
HDFC Bank Apps,36,8835.19,01-08-2024
Yes Bank Apps,26.3,9717.22,01-08-2024
BHIM,25.94,8363.28,01-08-2024
Airtel Payments Bank Apps,17.56,1221.86,01-08-2024
Mobikwik #,14.94,3012.52,01-08-2024
Groww #,13.65,9693.95,01-08-2024
super.money #,11.63,385.77,01-08-2024
Bajaj Finserv #,11.01,2639.91,01-08-2024
slice #,10.53,775.67,01-08-2024
State Bank of India Apps,9,2827.84,01-08-2024
Flipkart UPI #,8.6,468.99,01-08-2024
IDFC Bank Apps,8.01,1768.92,01-08-2024
Samsung Pay #,7.14,567.24,01-08-2024
India Post Payments Bank Apps,7.04,906,01-08-2024
Federal Bank Apps,6.25,901.05,01-08-2024
Jupiter Money #,6.04,807.39,01-08-2024
Deutsche Bank Apps,3.73,369.45,01-08-2024
Canara Bank Apps,3.1,810.75,01-08-2024
Jio Payments Bank Apps,2.62,201.6,01-08-2024
Punjab National Bank Apps,2.57,595.26,01-08-2024
Indian Bank Apps,2.26,373.75,01-08-2024
RBL Bank Apps,1.55,554.3,01-08-2024
Timepay #,1.29,12.9,01-08-2024
Union Bank Apps,1.27,468.83,01-08-2024
OmniCard #,1.21,61.66,01-08-2024
Bank of Baroda Apps,1.13,449.45,01-08-2024
Jammu and Kashmir Bank Apps,0.93,122.73,01-08-2024
Central Bank of India Apps,0.85,173.27,01-08-2024
Pop Club,0.77,72.62,01-08-2024
South Indian Bank Apps,0.62,168.87,01-08-2024
AU Small Finance Bank Apps,0.53,155.57,01-08-2024
DBS Digibank Apps,0.52,199.46,01-08-2024
Aditya Birla Capital Digital,0.51,16.36,01-08-2024
HSBC Bank Apps,0.49,168.59,01-08-2024
Fino Payments bank Apps,0.46,54.37,01-08-2024
IndusInd Bank Apps,0.37,101.49,01-08-2024
Digikhata #,0.33,110.14,01-08-2024
Shri Ram One #,0.33,37.87,01-08-2024
Kiwi #,0.29,37.8,01-08-2024
UCO Bank Apps,0.24,53.95,01-08-2024
Suryoday Bank Apps,0.21,0.02,01-08-2024
Karnataka Bank Apps,0.19,39.14,01-08-2024
TataNeu #,0.18,28.51,01-08-2024
Standard Chartered Bank Apps,0.18,116.68,01-08-2024
Indian Overseas Bank Apps,0.17,46.55,01-08-2024
Dhani,0.12,15.89,01-08-2024
Ultracash,0.12,8.68,01-08-2024
Bank of India Apps,0.11,28.04,01-08-2024
IDBI Bank Apps,0.09,33.76,01-08-2024
City Union Bank Apps,0.08,29.36,01-08-2024
Niyo Global,0.08,40.29,01-08-2024
Tamilnad Mercantile Bank Apps,0.08,24.17,01-08-2024
NSDL Payments Bank Apps,0.08,11.72,01-08-2024
Karur Vysya Bank Apps,0.06,21,01-08-2024
Rapi Pay,0.06,9.04,01-08-2024
Equitas Small Finance Bank Apps,0.04,26.4,01-08-2024
Punjab Sind Bank Apps,0.03,13.83,01-08-2024
Allahabad Bank Apps,0.02,5.13,01-08-2024
Others,1.82,230.58,01-08-2024
Navi #,504.45,25396.91,01-08-2025
super.money #,256.64,9290.21,01-08-2025
Cred #,150,55756.24,01-08-2025
FamApp by Trio #,135.65,1708.85,01-08-2025
Axis Bank Apps,135.14,9812.52,01-08-2025
BHIM,100.17,15002.68,01-08-2025
Amazon Pay #,98.98,10830.8,01-08-2025
Whatsapp #,78.21,5583.34,01-08-2025
ICICI Bank Apps,75.8,16589.76,01-08-2025
HDFC Bank Apps,72.86,16120.19,01-08-2025
Kotak Mahindra Bank Apps,71.87,8662.31,01-08-2025
Yes Bank Apps,54.33,9428.15,01-08-2025
Mobikwik #,48.14,6010.88,01-08-2025
POP UPI,44.53,1694.22,01-08-2025
Airtel Payments Bank Apps,21.4,1650.42,01-08-2025
Slice Small Finance Bank Apps,20.75,2716.15,01-08-2025
India Post Payments Bank Apps,19.58,1892.61,01-08-2025
IDFC Bank Apps,17.48,2728.37,01-08-2025
Groww #,13.01,9001.87,01-08-2025
State Bank of India Apps,12.99,3668.47,01-08-2025
Bajaj Finserv,11.63,2456.88,01-08-2025
Samsung Pay #,9.9,682.42,01-08-2025
RBL Bank Apps,9.29,1456.85,01-08-2025
Federal Bank Apps,6.55,1295.01,01-08-2025
Jupiter Money #,6.49,998.01,01-08-2025
Bharat Pe #,4.69,233.82,01-08-2025
Jio Payments Bank Apps,4.65,319.72,01-08-2025
Canara Bank Apps,4.27,1028.07,01-08-2025
Deutsche Bank Apps,4.24,774.19,01-08-2025
Punjab National Bank Apps,3.79,964.86,01-08-2025
NSDL Payments Bank Apps,3.59,198.74,01-08-2025
Flipkart UPI #,3.46,194.88,01-08-2025
Timepay #,2.98,43.77,01-08-2025
Fi Money #,2.77,391.19,01-08-2025
Kiwi #,2.69,305.39,01-08-2025
Shri Ram One,2.61,159.27,01-08-2025
Jammu and Kashmir Bank Apps,2.47,334.59,01-08-2025
Bank of Baroda Apps,2.39,508.85,01-08-2025
Ind Money #,2.15,758.73,01-08-2025
IndusInd Bank Apps,1.91,238.35,01-08-2025
Omni Card,1.82,113.4,01-08-2025
Suryoday Bank Apps,1.46,111.94,01-08-2025
Indian Bank Apps,1.26,281.53,01-08-2025
HSBC Bank Apps,1.21,151.55,01-08-2025
Digikhata,1.1,365.04,01-08-2025
Money View #,1.03,74.94,01-08-2025
South Indian Bank Apps,0.9,248.87,01-08-2025
Union Bank Apps,0.84,259.85,01-08-2025
One Card,0.76,884.64,01-08-2025
DBS Digibank Apps,0.75,252.29,01-08-2025
Kredit Pe #,0.71,60.21,01-08-2025
Central Bank of India Apps,0.71,161.42,01-08-2025
Fino Payments Bank Apps,0.69,68.05,01-08-2025
AU Small Finance Bank Apps,0.68,208.06,01-08-2025
ESAF Small Finance Bank Apps,0.59,63.66,01-08-2025
UCO Bank Apps,0.53,130.16,01-08-2025
Salary Se #,0.53,24.31,01-08-2025
Tata Pay #,0.52,155.47,01-08-2025
Aditya Birla Capital Digital,0.42,28.13,01-08-2025
Bank of India Apps,0.3,93.6,01-08-2025
Spice Money,0.3,26.1,01-08-2025
Karnataka Bank Apps,0.27,60.71,01-08-2025
Indian Overseas Bank Apps,0.26,64.38,01-08-2025
Standard Chartered Bank Apps,0.26,123.33,01-08-2025
Rapipay,0.24,25,01-08-2025
Dhani,0.22,9.85,01-08-2025
IDBI Bank Apps,0.17,67.08,01-08-2025
True Balance,0.15,4.9,01-08-2025
OBOPAY,0.11,16.77,01-08-2025
Karur Vysya Bank Apps,0.11,38.33,01-08-2025
Ultracash #,0.1,7.48,01-08-2025
Tamilnad Mercantile Bank Apps,0.1,33.36,01-08-2025
Niyo Global #,0.09,22.11,01-08-2025
City Union Bank Apps,0.07,28.22,01-08-2025
Unity Small Finance Bank Apps,0.07,19.76,01-08-2025
Payworld,0.04,4,01-08-2025
JAR #,0.04,1.14,01-08-2025
Freo #,0.04,2.43,01-08-2025
Utkarsh Small Finance Bank Apps,0.03,4.18,01-08-2025
Punjab Sind Bank Apps,0.02,6.63,01-08-2025
Others,2.41,273.01,01-08-2025
Others,2.31,244.14,01-08-2025
POP UPI,14.58,834.96,01-12-2024
Samsung Pay #,11.21,716.66,01-12-2024
Jupiter Money #,6.04,935.1,01-12-2024
Jio Payments Bank Apps,5.92,418.34,01-12-2024
Deutsche Bank Apps,4.39,760.75,01-12-2024
NSDL Payments Bank Apps,3.48,319.56,01-12-2024
Kiwi #,3.08,404.62,01-12-2024
Ind Money #,3.02,994.89,01-12-2024
Bank of Baroda Apps,2.74,653.52,01-12-2024
Flipkart UPI #,2.66,146.29,01-12-2024
Fi Money #,2.58,375.77,01-12-2024
Jammu and Kashmir Bank Apps,2.42,378.25,01-12-2024
Bharat Pe #,2.28,177.52,01-12-2024
Timepay #,2,39.98,01-12-2024
Omni Card,1.9,129.21,01-12-2024
Suryoday Bank Apps,1.89,3.55,01-12-2024
Indian Bank Apps,1.52,422.65,01-12-2024
Money View #,1.41,98.11,01-12-2024
IndusInd Bank Apps,1.39,212.28,01-12-2024
Shri Ram One #,1.39,108.4,01-12-2024
HSBC Bank Apps,1.26,158.12,01-12-2024
ESAF Small Finance Bank Apps,1.19,127.39,01-12-2024
Digikhata,1.16,412.73,01-12-2024
Aditya Birla Capital Digital #,1.11,24.14,01-12-2024
KreditBee #,1.06,37.32,01-12-2024
Fino Payments Bank Apps,0.96,83.45,01-12-2024
Union Bank Apps,0.88,250.09,01-12-2024
South Indian Bank Apps,0.84,243.72,01-12-2024
AU Small Finance Bank Apps,0.73,241.68,01-12-2024
One Card #,0.63,793.04,01-12-2024
Kredit Pe #,0.6,53.81,01-12-2024
